tripId,city,vehicleType,distanceKm,durationMinutes,timeOfDay,dayOfWeek,trafficLevel,weatherCondition,baseFare,perKmRate,perMinuteRate,surgeMultiplier,quotedFare,expectedFare,overchargePercentage,fareStatus,datasetSource
synthetic-000032,Chennai,BUS,20.65,37,MORNING,WEEKDAY,LOW,HOT,10,2,0,1.0,65.0,51.3,26.71,SLIGHTLY_HIGH,synthetic
synthetic-000033,Bengaluru,BUS,3.0,13,NIGHT,SATURDAY,NORMAL,RAIN,10,2,0,1.0,16.0,16.0,0.0,FAIR,synthetic
synthetic-000034,Madurai,AUTO,20.56,69,EVENING,SATURDAY,LOW,HOT,30,12,0,1.0,284.0,276.72,2.63,FAIR,synthetic
synthetic-000035,Madurai,BIKE_TAXI,17.01,44,DAY,WEEKDAY,LOW,HOT,20,8,0,1.0,166.0,156.08,6.36,FAIR,synthetic
synthetic-000036,Madurai,AUTO,20.66,50,DAY,SUNDAY,NORMAL,COLD,30,12,0,1.5,545.0,416.88,30.73,OVERCHARGED,synthetic
synthetic-000037,Coimbatore,BUS,3.56,8,DAY,WEEKDAY,NORMAL,RAIN,10,2,0,1.0,27.0,17.12,57.71,OVERCHARGED,synthetic
synthetic-000038,Bengaluru,BUS,17.41,33,MORNING,SATURDAY,LOW,CLEAR,10,2,0,1.0,63.0,44.82,40.56,OVERCHARGED,synthetic
synthetic-000039,Coimbatore,BUS,2.9,7,EVENING,SUNDAY,HIGH,CLEAR,10,2,0,1.0,18.0,15.8,13.92,SLIGHTLY_HIGH,synthetic
synthetic-000040,Chennai,AUTO,2.08,3,MORNING,SUNDAY,NORMAL,COLD,30,12,0,1.2,68.0,65.95,3.11,FAIR,synthetic
synthetic-000041,Chennai,BUS,18.6,59,MORNING,WEEKDAY,LOW,RAIN,10,2,0,1.0,68.0,47.2,44.07,OVERCHARGED,synthetic
synthetic-000042,Madurai,AUTO,21.58,65,DAY,WEEKDAY,NORMAL,COLD,30,12,0,1.0,560.0,288.96,93.8,OVERCHARGED,synthetic
synthetic-000043,Coimbatore,AUTO,21.58,44,EVENING,SATURDAY,NORMAL,HOT,30,12,0,1.0,308.0,288.96,6.59,FAIR,synthetic
synthetic-000044,Madurai,TAXI,20.75,51,MORNING,WEEKDAY,LOW,HOT,50,18,0,1.0,373.0,423.5,-11.92,FAIR,synthetic
synthetic-000045,Coimbatore,TAXI,13.83,32,DAY,SATURDAY,NORMAL,RAIN,50,18,0,1.0,276.0,298.94,-7.67,FAIR,synthetic
synthetic-000046,Chennai,AUTO,13.02,27,MORNING,SATURDAY,NORMAL,HOT,30,12,0,1.0,192.0,186.24,3.09,FAIR,synthetic
synthetic-000047,Chennai,BUS,8.57,19,DAY,SATURDAY,NORMAL,COLD,10,2,0,1.3,34.0,35.28,-3.63,FAIR,synthetic
synthetic-000048,Coimbatore,TAXI,3.43,8,MORNING,SUNDAY,LOW,COLD,50,18,0,1.0,99.0,111.74,-11.4,FAIR,synthetic
synthetic-000049,Chennai,AUTO,18.37,51,NIGHT,SATURDAY,HIGH,COLD,30,12,0,1.0,234.0,250.44,-6.56,FAIR,synthetic
synthetic-000050,Coimbatore,TAXI,15.44,40,EVENING,WEEKDAY,NORMAL,RAIN,50,18,0,1.0,318.0,327.92,-3.03,FAIR,synthetic
synthetic-000051,Bengaluru,BIKE_TAXI,21.77,49,NIGHT,WEEKDAY,NORMAL,RAIN,20,8,0,1.0,183.0,194.16,-5.75,FAIR,synthetic
synthetic-000052,Coimbatore,TAXI,4.16,10,EVENING,SATURDAY,LOW,CLEAR,50,18,0,1.0,120.0,124.88,-3.91,FAIR,synthetic
synthetic-000053,Madurai,AUTO,6.12,13,EVENING,SUNDAY,HIGH,RAIN,30,12,0,1.0,113.0,103.44,9.24,FAIR,synthetic
synthetic-000054,Bengaluru,BIKE_TAXI,11.13,22,EVENING,SATURDAY,NORMAL,COLD,20,8,0,1.3,148.0,141.75,4.41,FAIR,synthetic
synthetic-000055,Madurai,BUS,3.2,6,DAY,SATURDAY,NORMAL,RAIN,10,2,0,1.0,22.365175759733017,16.4,36.37,OVERCHARGED,synthetic
synthetic-000056,Madurai,AUTO,1.15,3,EVENING,SUNDAY,LOW,HOT,30,12,0,1.5,78.0,65.7,18.72,SLIGHTLY_HIGH,synthetic
synthetic-000057,Coimbatore,BUS,21.23,45,NIGHT,WEEKDAY,NORMAL,COLD,10,2,0,1.1,56.0,57.71,-2.96,FAIR,synthetic
synthetic-000058,Coimbatore,AUTO,16.41,36,NIGHT,SATURDAY,NORMAL,RAIN,30,12,0,1.0,272.0,226.92,19.87,SLIGHTLY_HIGH,synthetic
synthetic-000059,Chennai,BIKE_TAXI,9.64,28,DAY,SUNDAY,NORMAL,CLEAR,20,8,0,1.2,238.0,116.54,104.21,OVERCHARGED,synthetic
synthetic-000060,Chennai,TAXI,15.18,28,MORNING,SATURDAY,NORMAL,CLEAR,50,18,0,1.1,478.0,355.56,34.43,OVERCHARGED,synthetic
synthetic-000061,Coimbatore,BIKE_TAXI,1.09,4,NIGHT,SATURDAY,NORMAL,RAIN,20,8,0,1.0,55.0,28.72,91.5,OVERCHARGED,synthetic
synthetic-000062,Bengaluru,BIKE_TAXI,7.28,17,DAY,SUNDAY,NORMAL,RAIN,20,8,0,1.2,82.0,93.89,-12.66,FAIR,synthetic
synthetic-000063,Chennai,BIKE_TAXI,21.97,55,DAY,SATURDAY,LOW,COLD,20,8,0,1.0,378.0,195.76,93.09,OVERCHARGED,synthetic
synthetic-000064,Coimbatore,AUTO,3.82,14,DAY,SATURDAY,NORMAL,COLD,30,12,0,1.0,76.0,75.84,0.21,FAIR,synthetic
synthetic-000065,Bengaluru,BIKE_TAXI,16.79,45,EVENING,WEEKDAY,NORMAL,HOT,20,8,0,1.0,163.0,154.32,5.62,FAIR,synthetic
synthetic-000066,Madurai,BUS,7.29,21,EVENING,SUNDAY,LOW,HOT,10,2,0,1.2,29.0,29.5,-1.68,FAIR,synthetic
synthetic-000067,Coimbatore,TAXI,11.0,22,NIGHT,SUNDAY,HIGH,HOT,50,18,0,1.0,217.0,248.0,-12.5,FAIR,synthetic
synthetic-000068,Coimbatore,BIKE_TAXI,1.75,3,NIGHT,WEEKDAY,HIGH,CLEAR,20,8,0,1.0,32.0,34.0,-5.88,FAIR,synthetic
synthetic-000069,Chennai,AUTO,3.34,7,MORNING,WEEKDAY,NORMAL,CLEAR,30,12,0,1.0,66.0,70.08,-5.82,FAIR,synthetic
synthetic-000070,Bengaluru,TAXI,1.03,3,MORNING,WEEKDAY,NORMAL,HOT,50,18,0,1.0,103.0,80.0,28.75,SLIGHTLY_HIGH,synthetic
synthetic-000071,Chennai,AUTO,11.08,32,MORNING,SATURDAY,NORMAL,CLEAR,30,12,0,1.3,203.0,211.85,-4.18,FAIR,synthetic
synthetic-000072,Chennai,TAXI,20.3,62,MORNING,SATURDAY,LOW,HOT,50,18,0,1.0,473.0,415.4,13.87,SLIGHTLY_HIGH,synthetic
synthetic-000073,Madurai,BIKE_TAXI,1.1,5,DAY,SUNDAY,HIGH,HOT,20,8,0,1.1,48.0,31.68,51.52,OVERCHARGED,synthetic
synthetic-000074,Bengaluru,BIKE_TAXI,8.59,26,NIGHT,WEEKDAY,HIGH,COLD,20,8,0,1.0,84.0,88.72,-5.32,FAIR,synthetic
synthetic-000075,Chennai,AUTO,8.28,19,EVENING,WEEKDAY,LOW,CLEAR,30,12,0,1.1,165.0,142.3,15.96,SLIGHTLY_HIGH,synthetic
synthetic-000076,Chennai,BIKE_TAXI,15.56,32,DAY,WEEKDAY,LOW,HOT,20,8,0,1.0,156.0,144.48,7.97,FAIR,synthetic
synthetic-000077,Bengaluru,BIKE_TAXI,19.49,43,NIGHT,WEEKDAY,NORMAL,CLEAR,20,8,0,1.0,161.0,175.92,-8.48,FAIR,synthetic
synthetic-000078,Madurai,AUTO,5.86,13,NIGHT,SATURDAY,HIGH,RAIN,30,12,0,1.0,101.0,100.32,0.68,FAIR,synthetic
synthetic-000079,Bengaluru,BIKE_TAXI,21.65,51,NIGHT,SATURDAY,NORMAL,RAIN,20,8,0,1.1,201.0,212.52,-5.42,FAIR,synthetic
synthetic-000080,Madurai,AUTO,4.14,18,NIGHT,SUNDAY,HIGH,HOT,30,12,0,1.2,143.0,95.62,49.56,OVERCHARGED,synthetic
synthetic-000081,Madurai,BIKE_TAXI,8.96,8,NIGHT,SUNDAY,NORMAL,COLD,20,8,0,1.1,88.0,100.85,-12.74,FAIR,synthetic
synthetic-000082,Chennai,BUS,5.29,25,EVENING,WEEKDAY,NORMAL,RAIN,10,2,0,1.0,27.0,20.58,31.2,OVERCHARGED,synthetic
synthetic-000083,Bengaluru,BUS,13.2,29,MORNING,WEEKDAY,NORMAL,CLEAR,10,2,0,1.0,34.0,36.4,-6.59,FAIR,synthetic
synthetic-000084,Madurai,TAXI,8.13,17,NIGHT,WEEKDAY,HIGH,RAIN,50,18,0,1.1,335.0,215.97,55.11,OVERCHARGED,synthetic
synthetic-000085,Chennai,BUS,10.84,31,DAY,WEEKDAY,LOW,RAIN,10,2,0,1.5,57.0,47.52,19.95,SLIGHTLY_HIGH,synthetic
synthetic-000086,Bengaluru,TAXI,19.41,32,MORNING,SATURDAY,HIGH,RAIN,50,18,0,1.5,528.0,599.07,-11.86,FAIR,synthetic
synthetic-000087,Madurai,AUTO,18.76,42,EVENING,SUNDAY,NORMAL,RAIN,30,12,0,1.0,267.0,255.12,4.66,FAIR,synthetic
synthetic-000088,Coimbatore,BIKE_TAXI,9.5,26,DAY,WEEKDAY,NORMAL,CLEAR,20,8,0,1.3,132.0,124.8,5.77,FAIR,synthetic
synthetic-000089,Madurai,BIKE_TAXI,4.77,9,EVENING,SUNDAY,NORMAL,CLEAR,20,8,0,1.1,134.0,63.98,109.45,OVERCHARGED,synthetic
synthetic-000090,Chennai,TAXI,4.39,6,NIGHT,SATURDAY,HIGH,RAIN,50,18,0,1.0,125.0,129.02,-3.12,FAIR,synthetic
synthetic-000091,Bengaluru,AUTO,3.64,15,MORNING,SATURDAY,HIGH,CLEAR,30,12,0,1.0,66.0,73.68,-10.42,FAIR,synthetic
synthetic-000092,Bengaluru,AUTO,7.75,20,NIGHT,SUNDAY,NORMAL,RAIN,30,12,0,1.0,133.0,123.0,8.13,FAIR,synthetic
synthetic-000093,Madurai,TAXI,4.21,8,NIGHT,SUNDAY,HIGH,CLEAR,50,18,0,1.0,155.0,125.78,23.23,SLIGHTLY_HIGH,synthetic
synthetic-000094,Bengaluru,AUTO,10.2,28,DAY,WEEKDAY,NORMAL,COLD,30,12,0,1.0,146.0,152.4,-4.2,FAIR,synthetic
synthetic-000095,Madurai,BUS,9.25,21,NIGHT,SATURDAY,HIGH,RAIN,10,2,0,1.0,35.0,28.5,22.81,SLIGHTLY_HIGH,synthetic
synthetic-000096,Chennai,BUS,15.24,44,NIGHT,SATURDAY,HIGH,CLEAR,10,2,0,1.2,64.0,48.58,31.75,OVERCHARGED,synthetic
synthetic-000097,Coimbatore,TAXI,20.9,44,DAY,WEEKDAY,NORMAL,HOT,50,18,0,1.0,512.0,426.2,20.13,SLIGHTLY_HIGH,synthetic
synthetic-000098,Coimbatore,TAXI,9.57,30,NIGHT,WEEKDAY,NORMAL,CLEAR,50,18,0,1.0,236.32315062611488,222.26,6.33,FAIR,synthetic
synthetic-000099,Bengaluru,BIKE_TAXI,19.07,42,NIGHT,SUNDAY,LOW,CLEAR,20,8,0,1.0,158.0,172.56,-8.44,FAIR,synthetic
synthetic-000100,Madurai,BIKE_TAXI,15.73,36,DAY,SUNDAY,HIGH,HOT,20,8,0,1.0,157.0,145.84,7.65,FAIR,synthetic
synthetic-000101,Madurai,AUTO,9.4,19,DAY,SATURDAY,HIGH,HOT,30,12,0,1.3,295.0,185.64,58.91,OVERCHARGED,synthetic
synthetic-000102,Coimbatore,BIKE_TAXI,6.13,8,MORNING,SATURDAY,HIGH,HOT,20,8,0,1.5,131.0,103.56,26.5,SLIGHTLY_HIGH,synthetic
synthetic-000103,Coimbatore,TAXI,6.04,17,NIGHT,SATURDAY,NORMAL,CLEAR,50,18,0,1.0,143.0,158.72,-9.9,FAIR,synthetic
synthetic-000104,Chennai,TAXI,8.06,16,DAY,WEEKDAY,NORMAL,COLD,50,18,0,1.1,202.0,214.59,-5.87,FAIR,synthetic
synthetic-000105,Coimbatore,AUTO,9.88,25,NIGHT,WEEKDAY,NORMAL,HOT,30,12,0,1.0,153.0,148.56,2.99,FAIR,synthetic
synthetic-000106,Chennai,TAXI,18.48,44,MORNING,SUNDAY,LOW,CLEAR,50,18,0,1.0,473.0,382.64,23.61,SLIGHTLY_HIGH,synthetic
synthetic-000107,Bengaluru,BUS,3.0,11,DAY,WEEKDAY,NORMAL,COLD,10,2,0,1.0,14.0,16.0,-12.5,FAIR,synthetic
synthetic-000108,Bengaluru,BUS,18.25,55,EVENING,SUNDAY,NORMAL,COLD,10,2,0,1.2,59.0,55.8,5.73,FAIR,synthetic
synthetic-000109,Coimbatore,AUTO,4.22,15,EVENING,SUNDAY,NORMAL,COLD,30,12,0,1.0,83.0,80.64,2.93,FAIR,synthetic
synthetic-000110,Chennai,TAXI,4.08,7,EVENING,WEEKDAY,HIGH,RAIN,50,18,0,1.2,139.0,148.13,-6.16,FAIR,synthetic
synthetic-000111,Bengaluru,BIKE_TAXI,11.59,19,MORNING,SATURDAY,NORMAL,CLEAR,20,8,0,1.0,115.0,112.72,2.02,FAIR,synthetic
synthetic-000112,Chennai,AUTO,18.29,36,NIGHT,SUNDAY,NORMAL,COLD,30,12,0,1.0,235.0,249.48,-5.8,FAIR,synthetic
synthetic-000113,Coimbatore,BIKE_TAXI,5.04,10,EVENING,SATURDAY,LOW,CLEAR,20,8,0,1.1,65.0,66.35,-2.04,FAIR,synthetic
synthetic-000114,Chennai,BUS,13.63,34,NIGHT,WEEKDAY,NORMAL,CLEAR,10,2,0,1.1,74.0,40.99,80.55,OVERCHARGED,synthetic
synthetic-000115,Bengaluru,BUS,7.61,19,MORNING,SUNDAY,NORMAL,COLD,10,2,0,1.0,27.0,25.22,7.06,FAIR,synthetic
synthetic-000116,Coimbatore,AUTO,11.0,43,NIGHT,WEEKDAY,HIGH,RAIN,30,12,0,1.0,163.0,162.0,0.62,FAIR,synthetic
synthetic-000117,Coimbatore,AUTO,9.88,27,DAY,SUNDAY,LOW,HOT,30,12,0,1.0,128.0,148.56,-13.84,FAIR,synthetic
synthetic-000118,Chennai,TAXI,19.66,55,NIGHT,SUNDAY,HIGH,CLEAR,50,18,0,1.0,448.0,403.88,10.92,SLIGHTLY_HIGH,synthetic
synthetic-000119,Bengaluru,BIKE_TAXI,12.05,41,MORNING,SUNDAY,HIGH,COLD,20,8,0,1.0,212.0,116.4,82.13,OVERCHARGED,synthetic
synthetic-000120,Coimbatore,TAXI,11.37,31,NIGHT,WEEKDAY,HIGH,COLD,50,18,0,1.0,235.0,254.66,-7.72,FAIR,synthetic
synthetic-000121,Bengaluru,BIKE_TAXI,13.38,38,DAY,WEEKDAY,NORMAL,RAIN,20,8,0,1.0,272.0,127.04,114.11,OVERCHARGED,synthetic
synthetic-000122,Madurai,BIKE_TAXI,10.7,22,EVENING,SUNDAY,NORMAL,COLD,20,8,0,1.0,92.0,105.6,-12.88,FAIR,synthetic
synthetic-000123,Bengaluru,TAXI,5.51,11,MORNING,SATURDAY,NORMAL,COLD,50,18,0,1.2,329.0,179.02,83.78,OVERCHARGED,synthetic
synthetic-000124,Coimbatore,BIKE_TAXI,20.4,65,MORNING,SUNDAY,NORMAL,CLEAR,20,8,0,1.0,157.0,183.2,-14.3,FAIR,synthetic
synthetic-000125,Madurai,TAXI,10.78,17,MORNING,SATURDAY,LOW,COLD,50,18,0,1.2,287.0,292.85,-2.0,FAIR,synthetic
synthetic-000126,Coimbatore,AUTO,12.27,21,MORNING,WEEKDAY,HIGH,RAIN,30,12,0,1.0,186.0,177.24,4.94,FAIR,synthetic
synthetic-000127,Bengaluru,BIKE_TAXI,11.12,17,NIGHT,WEEKDAY,NORMAL,COLD,20,8,0,1.0,103.0,108.96,-5.47,FAIR,synthetic
synthetic-000128,Coimbatore,AUTO,7.38,26,MORNING,SATURDAY,HIGH,COLD,30,12,0,1.0,133.0,118.56,12.18,SLIGHTLY_HIGH,synthetic
synthetic-000129,Madurai,BUS,1.84,3,NIGHT,WEEKDAY,NORMAL,RAIN,10,2,0,1.0,13.0,13.68,-4.97,FAIR,synthetic
synthetic-000130,Bengaluru,AUTO,21.46,58,MORNING,SATURDAY,LOW,RAIN,30,12,0,1.0,273.0,287.52,-5.05,FAIR,synthetic
synthetic-000131,Bengaluru,BIKE_TAXI,21.13,49,MORNING,WEEKDAY,LOW,CLEAR,20,8,0,1.3,262.0,245.75,6.61,FAIR,synthetic
synthetic-000132,Bengaluru,AUTO,4.27,7,DAY,WEEKDAY,NORMAL,COLD,30,12,0,1.0,70.0,81.24,-13.84,FAIR,synthetic
synthetic-000133,Coimbatore,AUTO,7.01,27,NIGHT,SATURDAY,HIGH,CLEAR,30,12,0,1.1,273.0,125.53,117.47,OVERCHARGED,synthetic
synthetic-000134,Bengaluru,BIKE_TAXI,12.46,30,DAY,SATURDAY,NORMAL,CLEAR,20,8,0,1.1,126.0,131.65,-4.29,FAIR,synthetic
synthetic-000135,Bengaluru,TAXI,2.88,3,MORNING,WEEKDAY,LOW,COLD,50,18,0,1.3,144.0,132.39,8.77,FAIR,synthetic
synthetic-000136,Chennai,BIKE_TAXI,11.83,27,MORNING,SATURDAY,HIGH,RAIN,20,8,0,1.0,99.0,114.64,-13.64,FAIR,synthetic
synthetic-000137,Chennai,BIKE_TAXI,12.28,34,MORNING,SATURDAY,NORMAL,CLEAR,20,8,0,1.0,255.0,118.24,115.66,OVERCHARGED,synthetic
synthetic-000138,Coimbatore,TAXI,20.86,43,MORNING,SATURDAY,NORMAL,COLD,50,18,0,1.0,426.0,425.48,0.12,FAIR,synthetic
synthetic-000139,Bengaluru,AUTO,16.16,27,DAY,WEEKDAY,LOW,COLD,30,12,0,1.0,217.0,223.92,-3.09,FAIR,synthetic
synthetic-000140,Coimbatore,AUTO,11.04,29,MORNING,SATURDAY,NORMAL,RAIN,30,12,0,1.0,177.0,162.48,8.94,FAIR,synthetic
synthetic-000141,Bengaluru,BIKE_TAXI,10.99,22,EVENING,WEEKDAY,LOW,RAIN,20,8,0,1.1,118.0,118.71,-0.6,FAIR,synthetic
synthetic-000142,Madurai,TAXI,15.11,41,EVENING,WEEKDAY,HIGH,HOT,50,18,0,1.2,394.0,386.38,1.97,FAIR,synthetic
synthetic-000143,Bengaluru,BUS,3.75,3,MORNING,WEEKDAY,LOW,CLEAR,10,2,0,1.2,18.0,21.0,-14.29,FAIR,synthetic
synthetic-000144,Coimbatore,TAXI,12.12,28,DAY,WEEKDAY,HIGH,CLEAR,50,18,0,1.0,257.0,268.16,-4.16,FAIR,synthetic
synthetic-000145,Chennai,TAXI,3.67,6,DAY,SATURDAY,NORMAL,COLD,50,18,0,1.0,146.0,116.06,25.8,SLIGHTLY_HIGH,synthetic
synthetic-000146,Chennai,TAXI,8.58,23,DAY,WEEKDAY,LOW,CLEAR,50,18,0,1.0,236.0,204.44,15.44,SLIGHTLY_HIGH,synthetic
synthetic-000147,Madurai,TAXI,7.36,22,NIGHT,SATURDAY,NORMAL,HOT,50,18,0,1.3,237.0,237.22,-0.09,FAIR,synthetic
synthetic-000148,Bengaluru,TAXI,20.08,54,DAY,SATURDAY,NORMAL,COLD,50,18,0,1.0,397.0,411.44,-3.51,FAIR,synthetic
synthetic-000149,Chennai,BUS,18.57,56,DAY,WEEKDAY,LOW,RAIN,10,2,0,1.2,118.0,56.57,108.6,OVERCHARGED,synthetic
synthetic-000150,Coimbatore,BUS,13.73,33,EVENING,SUNDAY,HIGH,COLD,10,2,0,1.0,34.0,37.46,-9.24,FAIR,synthetic
synthetic-000151,Coimbatore,TAXI,18.52,57,EVENING,SUNDAY,NORMAL,COLD,50,18,0,1.2,488.0,460.03,6.08,FAIR,synthetic
synthetic-000152,Chennai,TAXI,6.8,22,EVENING,SATURDAY,HIGH,HOT,50,18,0,1.0,177.0,172.4,2.67,FAIR,synthetic
synthetic-000153,Bengaluru,BIKE_TAXI,5.47,4,MORNING,WEEKDAY,LOW,RAIN,20,8,0,1.0,62.0,63.76,-2.76,FAIR,synthetic
synthetic-000154,Madurai,TAXI,8.8,24,MORNING,SUNDAY,LOW,CLEAR,50,18,0,1.0,391.0,208.4,87.62,OVERCHARGED,synthetic
synthetic-000155,Chennai,TAXI,9.47,22,MORNING,SATURDAY,HIGH,RAIN,50,18,0,1.1,232.0,242.51,-4.33,FAIR,synthetic
synthetic-000156,Coimbatore,AUTO,17.72,38,EVENING,SATURDAY,HIGH,COLD,30,12,0,1.0,214.0,242.64,-11.8,FAIR,synthetic
synthetic-000157,Madurai,AUTO,18.78,63,NIGHT,WEEKDAY,NORMAL,COLD,30,12,0,1.0,289.0,255.36,13.17,SLIGHTLY_HIGH,synthetic
synthetic-000158,Chennai,AUTO,2.06,3,MORNING,SUNDAY,HIGH,COLD,30,12,0,1.1,62.0,60.19,3.0,FAIR,synthetic
synthetic-000159,Coimbatore,TAXI,19.41,43,EVENING,SUNDAY,NORMAL,HOT,50,18,0,1.1,385.0,439.32,-12.36,FAIR,synthetic
synthetic-000160,Madurai,BUS,9.3,23,DAY,SUNDAY,NORMAL,RAIN,10,2,0,1.1,38.0,31.46,20.79,SLIGHTLY_HIGH,synthetic
synthetic-000161,Madurai,BIKE_TAXI,16.16,26,DAY,SATURDAY,HIGH,COLD,20,8,0,1.0,161.0,149.28,7.85,FAIR,synthetic
synthetic-000162,Coimbatore,AUTO,17.54,34,DAY,SATURDAY,NORMAL,COLD,30,12,0,1.0,279.0,240.48,16.02,SLIGHTLY_HIGH,synthetic
synthetic-000163,Bengaluru,BIKE_TAXI,1.51,3,MORNING,SUNDAY,LOW,RAIN,20,8,0,1.0,30.0,32.08,-6.48,FAIR,synthetic
synthetic-000164,Bengaluru,TAXI,2.07,3,DAY,SUNDAY,NORMAL,COLD,50,18,0,1.1,143.0,95.99,48.98,OVERCHARGED,synthetic
