latitude,longitude,timeOfDay,dayOfWeek,policeDistanceKm,hospitalDistanceKm,fireStationDistanceKm,emergencyResponseDistanceKm,incidentCount,crimeReports,touristReports,lightingScore,crowdDensity,transportAvailability,safetyLevel,datasetSource
13.24806,80.04016,DAY,SATURDAY,1.71,0.53,1.36,2.07,0,0,0,98,HIGH,MODERATE,SAFE,synthetic
12.9224,80.0645,NIGHT,WEEKDAY,12.88,11.77,10.69,15.85,1,6,1,23,LOW,LOW,HIGH_RISK,synthetic
13.04102,80.38128,EVENING,SATURDAY,1.15,0.6,0.91,0.61,0,0,0,97,NORMAL,MODERATE,SAFE,synthetic
12.89362,80.39544,EVENING,WEEKDAY,11.42,8.69,6.68,22.73,3,0,0,6,DESERTED,LOW,HIGH_RISK,synthetic
12.90598,80.36951,NIGHT,SATURDAY,4.38,1.51,7.96,5.53,0,0,0,68,NORMAL,MODERATE,SAFE,synthetic
13.26093,80.12766,NIGHT,SATURDAY,3.57,5.13,5.6,7.26,5,1,0,39,LOW,LOW,HIGH_RISK,synthetic
13.24624,80.29985,NIGHT,SUNDAY,9.31,10.6,8.33,23.16,4,5,1,6,DESERTED,LOW,HIGH_RISK,synthetic
13.25354,80.16772,MORNING,SUNDAY,3.04,3.74,4.64,4.13,1,0,0,67,LOW,MODERATE,SAFE,synthetic
13.18908,80.34425,DAY,SATURDAY,1.37,0.41,0.97,0.99,0,0,0,79,NORMAL,MODERATE,SAFE,synthetic
13.10503,80.10204,DAY,SATURDAY,2.94,6.87,4.4,9.17,0,0,1,66,HIGH,HIGH,SAFE,synthetic
13.22699,80.12889,EVENING,SUNDAY,3.7,4.98,4.0,5.2,4,1,0,77,HIGH,MODERATE,MODERATE,synthetic
13.0403,80.18258,MORNING,SATURDAY,1.33,0.79,0.92,2.55,0,0,0,92,HIGH,MODERATE,SAFE,synthetic
13.19876,80.33567,EVENING,WEEKDAY,1.57,0.38,1.29,4.0,0,0,0,70,HIGH,MODERATE,SAFE,synthetic
12.869,80.3163,DAY,SUNDAY,1.78,1.69,0.51,3.41,0,0,0,99,NORMAL,HIGH,SAFE,synthetic
13.29971,80.20658,EVENING,SUNDAY,1.48,2.44,1.09,2.11,0,0,0,89,NORMAL,HIGH,SAFE,synthetic
13.00833,80.12862,DAY,WEEKDAY,5.11,4.2,7.36,4.3,6,0,0,72,NORMAL,HIGH,MODERATE,synthetic
12.80026,80.17453,DAY,WEEKDAY,4.35,10.52,14.05,10.69,2,20,2,24,LOW,LOW,HIGH_RISK,synthetic
13.1689,80.10298,DAY,WEEKDAY,9.04,11.5,10.11,13.89,1,1,2,8,DESERTED,LOW,HIGH_RISK,synthetic
12.88767,80.32924,MORNING,SATURDAY,5.96,2.25,5.92,7.04,1,1,1,78,HIGH,HIGH,MODERATE,synthetic
12.94454,80.29389,DAY,SATURDAY,3.98,6.06,6.26,3.24,0,0,0,44,LOW,MODERATE,MODERATE,synthetic
13.21331,80.22449,NIGHT,SUNDAY,2.72,4.37,3.89,8.08,6,0,0,35,NORMAL,HIGH,MODERATE,synthetic
13.24513,80.18798,DAY,WEEKDAY,5.71,1.83,3.29,8.27,0,2,0,64,HIGH,MODERATE,MODERATE,synthetic
12.88807,80.05388,DAY,SUNDAY,7.2,7.61,5.61,13.72,3,2,0,33,DESERTED,LOW,HIGH_RISK,synthetic
12.85766,80.24783,EVENING,SUNDAY,1.72,1.91,2.5,2.34,0,0,0,72,NORMAL,MODERATE,SAFE,synthetic
13.04932,80.19747,NIGHT,SATURDAY,7.81,7.98,11.43,10.05,3,1,0,10,DESERTED,MODERATE,MODERATE,synthetic
13.00433,80.17261,EVENING,SATURDAY,5.67,6.63,4.35,5.96,2,0,0,48,LOW,HIGH,MODERATE,synthetic
12.9893,80.03786,DAY,WEEKDAY,1.47,1.03,0.8,2.47,0,0,0,79,NORMAL,HIGH,SAFE,synthetic
13.27276,80.15699,NIGHT,SATURDAY,9.79,4.05,5.42,18.89,9,0,2,28,DESERTED,MODERATE,HIGH_RISK,synthetic
12.80274,80.31466,NIGHT,WEEKDAY,5.45,3.55,5.39,5.43,1,4,0,44,LOW,MODERATE,MODERATE,synthetic
12.8938,80.23771,NIGHT,WEEKDAY,7.74,5.01,13.92,15.71,7,2,5,38,DESERTED,LOW,HIGH_RISK,synthetic
13.21886,80.11376,EVENING,WEEKDAY,5.43,1.63,5.12,7.17,2,0,0,40,NORMAL,LOW,SAFE,synthetic
13.06113,80.08573,DAY,SUNDAY,0.46,0.93,0.47,3.82,0,0,0,71,NORMAL,MODERATE,SAFE,synthetic
13.01451,80.17243,EVENING,SUNDAY,1.12,2.48,2.88,0.64,0,0,0,96,NORMAL,HIGH,SAFE,synthetic
13.21735,80.0623,EVENING,WEEKDAY,5.62,4.62,4.38,7.01,0,3,0,72,HIGH,MODERATE,MODERATE,synthetic
12.84714,80.34692,NIGHT,WEEKDAY,5.24,6.87,7.05,11.49,1,2,0,52,LOW,LOW,MODERATE,synthetic
13.04147,80.18256,MORNING,WEEKDAY,3.13,3.65,2.54,3.7,2,2,2,78,HIGH,HIGH,MODERATE,synthetic
12.90291,80.39029,DAY,SUNDAY,1.08,2.35,2.94,1.33,0,0,0,74,NORMAL,HIGH,SAFE,synthetic
13.11299,80.08075,NIGHT,WEEKDAY,10.18,12.64,15.44,13.57,2,1,1,26,DESERTED,MODERATE,HIGH_RISK,synthetic
12.8914,80.12829,EVENING,SATURDAY,4.53,3.89,3.37,9.5,0,4,0,69,HIGH,MODERATE,MODERATE,synthetic
13.0541,80.17467,DAY,WEEKDAY,8.86,8.78,9.64,9.07,17,1,5,26,DESERTED,LOW,HIGH_RISK,synthetic
13.03778,80.02413,DAY,SUNDAY,10.48,11.82,9.71,18.21,10,4,2,21,LOW,LOW,HIGH_RISK,synthetic
12.98546,80.17003,EVENING,WEEKDAY,9.06,11.37,10.06,11.45,11,0,0,18,LOW,LOW,HIGH_RISK,synthetic
12.85536,80.38242,DAY,SUNDAY,0.48,0.8,1.68,3.59,0,0,0,96,NORMAL,MODERATE,SAFE,synthetic
12.95417,80.05091,DAY,WEEKDAY,4.67,1.88,4.89,10.04,6,1,1,41,NORMAL,LOW,MODERATE,synthetic
12.88818,80.18699,MORNING,SATURDAY,2.58,5.63,3.88,5.46,0,1,0,73,NORMAL,LOW,SAFE,synthetic
13.04897,80.2572,EVENING,SATURDAY,13.99,10.14,14.79,22.54,6,2,0,31,DESERTED,LOW,HIGH_RISK,synthetic
13.00368,80.22727,DAY,SUNDAY,5.26,2.1,3.35,10.14,9,1,0,40,NORMAL,LOW,HIGH_RISK,synthetic
12.97232,80.2228,MORNING,WEEKDAY,0.42,0.57,0.36,3.82,0,0,0,88,NORMAL,MODERATE,SAFE,synthetic
13.25664,80.05602,NIGHT,SUNDAY,5.17,2.79,3.66,11.68,0,0,1,71,LOW,MODERATE,SAFE,synthetic
12.98916,80.33405,DAY,SUNDAY,0.11,1.47,2.98,0.64,0,0,0,93,NORMAL,HIGH,SAFE,synthetic
12.89442,80.0782,MORNING,SUNDAY,3.66,6.24,5.85,9.21,3,0,0,45,HIGH,MODERATE,MODERATE,synthetic
12.84889,80.18729,DAY,WEEKDAY,0.45,1.21,1.01,3.29,0,0,0,91,NORMAL,HIGH,SAFE,synthetic
13.00102,80.08988,EVENING,WEEKDAY,7.99,4.35,6.78,18.23,2,1,1,9,DESERTED,LOW,MODERATE,synthetic
12.9529,80.24757,DAY,WEEKDAY,5.28,11.81,15.32,19.65,5,3,0,39,DESERTED,LOW,HIGH_RISK,synthetic
12.85892,80.09534,DAY,SATURDAY,3.77,4.7,4.37,10.08,2,0,0,68,NORMAL,LOW,MODERATE,synthetic
13.19762,80.38425,NIGHT,WEEKDAY,5.63,6.91,4.11,8.74,1,3,0,61,NORMAL,HIGH,MODERATE,synthetic
12.99139,80.39199,DAY,SUNDAY,7.01,11.7,8.71,17.7,11,4,0,14,LOW,LOW,HIGH_RISK,synthetic
13.0478,80.02208,EVENING,SUNDAY,5.39,1.67,4.38,11.51,0,0,0,58,HIGH,MODERATE,SAFE,synthetic
13.06565,80.31171,DAY,WEEKDAY,0.54,0.17,2.88,2.99,0,0,0,96,NORMAL,HIGH,SAFE,synthetic
13.24403,80.3247,MORNING,WEEKDAY,4.1,2.28,7.83,11.13,1,0,0,63,NORMAL,MODERATE,MODERATE,synthetic
12.83565,80.39593,DAY,SATURDAY,0.35,2.09,1.82,3.21,0,0,0,83,HIGH,MODERATE,SAFE,synthetic
13.03383,80.06789,DAY,WEEKDAY,6.61,5.54,7.71,21.47,1,2,3,35,DESERTED,MODERATE,MODERATE,synthetic
13.14445,80.36392,DAY,SATURDAY,1.18,0.8,1.75,2.68,0,0,0,79,HIGH,MODERATE,SAFE,synthetic
13.02342,80.16361,DAY,WEEKDAY,0.52,1.16,2.28,1.33,1,0,0,90,NORMAL,MODERATE,SAFE,synthetic
13.04591,80.21146,EVENING,SATURDAY,4.82,1.9,5.09,7.33,11,1,0,62,HIGH,LOW,MODERATE,synthetic
12.90846,80.03808,MORNING,WEEKDAY,0.92,1.95,2.25,0.61,0,0,0,99,HIGH,HIGH,SAFE,synthetic
13.00613,80.30386,MORNING,SUNDAY,1.82,1.3,2.32,3.47,0,0,0,89,NORMAL,MODERATE,SAFE,synthetic
13.11951,80.34399,NIGHT,SATURDAY,6.04,9.29,14.16,12.85,1,12,5,38,DESERTED,LOW,HIGH_RISK,synthetic
13.05275,80.25467,MORNING,SUNDAY,4.87,3.33,3.98,4.15,0,2,0,59,NORMAL,MODERATE,MODERATE,synthetic
12.81058,80.12654,MORNING,SATURDAY,1.35,0.76,0.38,0.69,0,0,0,73,HIGH,HIGH,SAFE,synthetic
12.8359,80.3211,EVENING,SUNDAY,4.11,5.79,14.94,16.79,1,0,6,9,DESERTED,LOW,HIGH_RISK,synthetic
12.95014,80.19089,EVENING,SUNDAY,2.51,1.75,4.11,9.4,0,0,0,77,NORMAL,HIGH,SAFE,synthetic
13.15585,80.04112,NIGHT,SATURDAY,4.22,2.85,2.26,5.01,1,0,0,41,HIGH,HIGH,SAFE,synthetic
12.80893,80.36998,NIGHT,SATURDAY,4.12,11.63,15.67,22.49,22,6,0,12,DESERTED,MODERATE,HIGH_RISK,synthetic
13.00863,80.22874,MORNING,SATURDAY,1.51,0.28,2.24,3.47,0,0,0,97,HIGH,MODERATE,SAFE,synthetic
12.90979,80.18557,NIGHT,WEEKDAY,11.34,6.15,14.46,14.05,11,0,4,21,DESERTED,LOW,HIGH_RISK,synthetic
12.8753,80.03536,DAY,SUNDAY,3.03,1.89,4.85,9.78,0,0,1,66,LOW,HIGH,SAFE,synthetic
13.27649,80.26032,DAY,SATURDAY,1.78,1.27,0.6,1.03,0,0,0,83,NORMAL,HIGH,SAFE,synthetic
12.93982,80.01282,DAY,SUNDAY,3.18,5.08,2.65,3.12,1,1,0,69,HIGH,MODERATE,MODERATE,synthetic
12.81092,80.20605,NIGHT,SUNDAY,3.4,2.05,6.7,11.48,0,2,0,58,HIGH,MODERATE,MODERATE,synthetic
13.26458,80.3924,MORNING,SATURDAY,0.95,1.41,0.61,1.68,0,0,0,73,NORMAL,MODERATE,SAFE,synthetic
13.03744,80.05237,EVENING,SATURDAY,1.9,0.74,1.61,0.82,0,0,0,99,NORMAL,MODERATE,SAFE,synthetic
13.02413,80.11179,EVENING,SATURDAY,7.9,9.31,15.74,10.98,5,0,1,24,DESERTED,MODERATE,HIGH_RISK,synthetic
12.93174,80.14209,EVENING,WEEKDAY,4.73,4.07,4.17,10.67,3,0,0,43,LOW,HIGH,SAFE,synthetic
13.17356,80.0523,NIGHT,SATURDAY,13.37,10.07,12.81,19.42,14,0,1,33,LOW,MODERATE,HIGH_RISK,synthetic
13.26383,80.10583,DAY,SATURDAY,0.31,0.68,0.97,0.61,0,0,0,88,NORMAL,MODERATE,SAFE,synthetic
12.8126,80.08085,NIGHT,SUNDAY,13.91,13.29,10.55,16.51,2,10,4,16,DESERTED,MODERATE,HIGH_RISK,synthetic
13.18344,80.32256,NIGHT,SUNDAY,5.68,2.02,7.97,9.93,0,0,0,65,HIGH,LOW,MODERATE,synthetic
12.84894,80.11037,NIGHT,SATURDAY,1.69,3.97,3.59,6.53,1,3,0,62,HIGH,LOW,MODERATE,synthetic
13.05126,80.1671,DAY,SUNDAY,1.06,0.46,1.19,2.48,0,0,0,90,HIGH,MODERATE,SAFE,synthetic
12.87105,80.21058,MORNING,SUNDAY,1.65,1.5,0.94,3.75,0,0,0,77,NORMAL,HIGH,SAFE,synthetic
13.05612,80.10342,MORNING,SUNDAY,2.03,6.65,7.37,4.67,1,1,0,57,NORMAL,HIGH,SAFE,synthetic
13.04119,80.36894,EVENING,SUNDAY,0.32,2.33,2.85,1.6,0,0,0,73,NORMAL,MODERATE,SAFE,synthetic
12.83358,80.0155,NIGHT,SATURDAY,3.03,5.11,2.56,11.55,3,3,0,46,HIGH,MODERATE,MODERATE,synthetic
12.94843,80.02425,NIGHT,WEEKDAY,2.65,3.62,3.18,5.36,1,2,0,66,LOW,LOW,MODERATE,synthetic
13.2831,80.20879,NIGHT,WEEKDAY,11.94,4.59,9.72,19.17,10,0,0,18,LOW,LOW,HIGH_RISK,synthetic
13.05384,80.28937,DAY,SUNDAY,10.29,10.12,13.3,21.48,21,0,9,29,DESERTED,LOW,HIGH_RISK,synthetic
12.89405,80.13561,EVENING,SATURDAY,2.42,2.01,7.33,9.88,0,0,0,64,NORMAL,LOW,SAFE,synthetic
12.94956,80.01581,DAY,SUNDAY,1.69,1.53,6.38,11.54,1,0,0,74,NORMAL,MODERATE,SAFE,synthetic
13.09908,80.35925,EVENING,SUNDAY,4.79,7.85,6.99,13.63,6,0,7,23,DESERTED,LOW,HIGH_RISK,synthetic
12.83349,80.16131,DAY,WEEKDAY,0.6,2.47,0.79,1.19,0,0,0,74,HIGH,MODERATE,SAFE,synthetic
13.14488,80.34729,NIGHT,SUNDAY,4.05,1.88,3.02,3.62,2,0,1,35,NORMAL,LOW,MODERATE,synthetic
12.81188,80.02252,EVENING,SUNDAY,6.35,9.48,9.69,20.73,5,6,2,34,LOW,LOW,HIGH_RISK,synthetic
13.03882,80.35453,DAY,SUNDAY,4.58,2.95,4.51,6.3,1,0,0,66,NORMAL,LOW,SAFE,synthetic
13.23605,80.24085,MORNING,SATURDAY,1.42,2.13,0.87,1.03,0,0,0,80,NORMAL,HIGH,SAFE,synthetic
13.09607,80.30243,MORNING,SUNDAY,1.55,4.77,7.95,5.32,0,0,0,68,LOW,HIGH,SAFE,synthetic
13.24627,80.32231,DAY,WEEKDAY,1.16,0.81,1.12,3.76,0,0,0,75,NORMAL,MODERATE,SAFE,synthetic
13.06382,80.02695,EVENING,WEEKDAY,5.24,5.98,13.42,9.55,4,22,0,6,DESERTED,MODERATE,HIGH_RISK,synthetic
13.15918,80.23447,DAY,SATURDAY,4.64,6.76,5.53,8.98,2,1,0,69,LOW,HIGH,MODERATE,synthetic
12.82454,80.16171,MORNING,WEEKDAY,4.13,5.12,6.32,8.77,8,3,1,36,LOW,LOW,HIGH_RISK,synthetic
13.23649,80.27162,EVENING,WEEKDAY,1.23,0.63,2.26,3.4,0,0,0,78,NORMAL,MODERATE,SAFE,synthetic
12.98412,80.02015,DAY,SUNDAY,0.47,1.0,2.84,2.27,0,0,0,91,HIGH,MODERATE,SAFE,synthetic
12.85541,80.24346,EVENING,SATURDAY,8.02,4.51,15.16,22.14,11,3,0,32,DESERTED,MODERATE,HIGH_RISK,synthetic
13.14151,80.3802,NIGHT,WEEKDAY,6.77,4.53,15.34,22.99,7,4,2,28,LOW,MODERATE,HIGH_RISK,synthetic
13.21832,80.05833,EVENING,WEEKDAY,1.14,0.62,0.66,2.47,0,0,0,72,NORMAL,MODERATE,SAFE,synthetic
13.11564,80.24806,DAY,SATURDAY,4.61,1.59,7.75,8.27,4,1,0,75,HIGH,HIGH,MODERATE,synthetic
12.96986,80.09993,NIGHT,WEEKDAY,3.19,6.83,3.04,5.88,1,0,0,39,LOW,LOW,MODERATE,synthetic
12.81252,80.10496,EVENING,WEEKDAY,1.64,4.9,6.07,9.72,3,0,0,47,NORMAL,MODERATE,MODERATE,synthetic
13.29778,80.00632,MORNING,WEEKDAY,4.88,6.05,5.27,8.58,1,0,0,41,HIGH,HIGH,SAFE,synthetic
12.89731,80.00156,NIGHT,WEEKDAY,3.0,2.41,4.71,6.62,2,3,0,72,HIGH,MODERATE,MODERATE,synthetic
12.84437,80.16274,NIGHT,SUNDAY,13.51,8.11,12.34,15.31,10,0,1,21,LOW,MODERATE,HIGH_RISK,synthetic
13.24332,80.3277,NIGHT,SUNDAY,4.98,2.99,4.97,4.78,5,2,0,64,NORMAL,LOW,MODERATE,synthetic
13.26591,80.22849,EVENING,WEEKDAY,4.02,3.38,3.73,5.17,0,0,1,59,LOW,LOW,MODERATE,synthetic
12.90464,80.32917,DAY,WEEKDAY,1.46,1.92,1.81,3.52,0,0,0,82,HIGH,HIGH,SAFE,synthetic
13.01008,80.32557,NIGHT,SATURDAY,3.54,6.6,4.37,8.09,0,0,0,73,LOW,HIGH,SAFE,synthetic
13.04581,80.32233,EVENING,WEEKDAY,4.7,9.75,10.14,17.83,3,2,2,15,LOW,LOW,HIGH_RISK,synthetic
13.17282,80.13655,NIGHT,SATURDAY,12.54,5.53,11.41,12.56,4,2,1,21,DESERTED,LOW,HIGH_RISK,synthetic
12.99065,80.3503,NIGHT,SUNDAY,12.75,5.66,14.02,8.51,10,9,5,28,LOW,LOW,HIGH_RISK,synthetic
13.0342,80.35699,DAY,SATURDAY,0.42,1.64,2.92,1.37,0,0,0,94,NORMAL,HIGH,SAFE,synthetic
13.07824,80.20492,DAY,WEEKDAY,7.55,8.1,6.85,19.85,11,0,5,39,LOW,MODERATE,HIGH_RISK,synthetic
13.07752,80.13364,EVENING,SATURDAY,0.97,0.54,1.68,2.97,0,0,0,86,HIGH,HIGH,SAFE,synthetic
12.90314,80.07466,EVENING,SATURDAY,1.65,2.74,6.34,10.54,0,2,1,75,HIGH,HIGH,SAFE,synthetic
13.12639,80.36764,MORNING,WEEKDAY,0.7,0.27,2.85,2.06,0,0,0,90,HIGH,HIGH,SAFE,synthetic
13.1243,80.20562,DAY,SATURDAY,0.36,0.38,0.49,2.73,0,0,0,92,HIGH,MODERATE,SAFE,synthetic
